Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
body wash,1976673,15%,-8%,5452147,Beauty & Personal Care,$3.06,$2.77,Very Difficult,61
hand soap,1640732,21%,-2%,3286859,Beauty & Personal Care,$1.70,$1.84,Very Difficult,22
body wash women,500026,9%,-6%,672825,Beauty & Personal Care,$2.68,$2.67,Easy,53
mens body wash,340936,12%,-23%,413368,Beauty & Personal Care,$5.20,$4.77,Easy,55
body wash men,281795,8%,-11%,439911,Beauty & Personal Care,$1.96,$3.12,Easy,34
native body wash,238421,15%,4%,280456,Beauty & Personal Care,$0.90,$1.76,Very Difficult,17
salt and stone,174251,-12%,-25%,519459,Beauty & Personal Care,$2.34,$1.83,Easy,51
method body wash,169865,-13%,-32%,266023,Beauty & Personal Care,$0.82,$1.19,Difficult,17
rhode,150352,-20%,13%,422086,Beauty & Personal Care,$0.55,$0.65,Somewhat Difficult,18
aveeno body wash,136507,10%,-5%,193018,Beauty & Personal Care,$0.85,$1.62,Easy,36
antibacterial body wash,121479,1%,3%,189091,Beauty & Personal Care,$4.31,$2.23,Moderate,17
eos body wash,120723,19%,4%,147439,Beauty & Personal Care,$1.41,$1.41,Easy,20
salt and stone deodorant,110029,265%,165%,142464,Beauty & Personal Care,$3.19,$3.19,Easy,18
body soap,103289,4%,-2%,274363,Beauty & Personal Care,$2.04,$1.64,Easy,17
naturium body wash,94572,31%,26%,127365,Beauty & Personal Care,---,---,Easy,35
cremo body wash,81805,3%,-3%,110238,Beauty & Personal Care,$0.54,$0.78,Somewhat Difficult,17
shower gel,78348,0%,-8%,183104,Beauty & Personal Care,$1.67,$1.63,Easy,55
womens body wash,67830,7%,-9%,81490,Beauty & Personal Care,$4.49,$3.14,Easy,20
skin so soft,66764,120%,-22%,186390,Beauty & Personal Care,$0.81,$0.74,Very Difficult,17
smeg,65559,-6%,-28%,190976,Home & Kitchen,$0.56,$0.51,Very Difficult,17
shower,63620,6%,-4%,10438152,Tools & Home Improvement,---,---,Very Difficult,17
salt and stone body wash,62018,11%,36%,84521,Beauty & Personal Care,---,---,Easy,88
men body wash,61389,-5%,-10%,224158,Beauty & Personal Care,$5.13,$4.92,Moderate,36
men's body wash,60080,5%,-5%,72096,Beauty & Personal Care,$4.69,$4.88,Easy,69
body exfoliator,59087,9%,10%,151305,Beauty & Personal Care,$1.13,$1.58,Easy,18
eucalyptus for shower,58973,1%,6%,106597,Home & Kitchen,$0.96,$0.91,Moderate,18
alo yoga,56278,-31%,-5%,105262,"Clothing, Shoes & Jewelry",$1.46,$1.68,Moderate,17
travel size body wash,55318,27%,5%,86024,Beauty & Personal Care,$1.39,$1.27,Moderate,38
body wash sensitive skin,54407,12%,14%,104769,Beauty & Personal Care,$2.76,$1.62,Easy,36
bodywash,54367,9%,-10%,155532,Beauty & Personal Care,$1.19,$1.09,Easy,53
travel body wash,52791,31%,12%,144637,Beauty & Personal Care,$1.48,$1.47,Easy,37
method men body wash,51835,-1%,-22%,63280,Beauty & Personal Care,$0.91,$1.08,Somewhat Difficult,18
cremo,51200,-5%,-6%,251814,Beauty & Personal Care,$0.67,$0.65,Very Difficult,21
kopari,51057,53%,22%,130706,Beauty & Personal Care,$3.73,$3.40,Very Difficult,18
hand wash,49173,5%,-6%,109622,Beauty & Personal Care,$1.22,$1.29,Moderate,21
osea,46379,-4%,-9%,176911,Beauty & Personal Care,$0.81,$1.04,Very Difficult,51
ivory body wash,45947,45%,10%,58993,Beauty & Personal Care,$0.89,$0.96,Difficult,17
body wash for men,45880,43%,-10%,439911,Beauty & Personal Care,$2.61,$2.62,Moderate,17
tea tree body wash,44290,-2%,-12%,60047,Beauty & Personal Care,$1.65,$1.45,Somewhat Difficult,17
skinceuticals,44202,19%,-1%,103120,Beauty & Personal Care,$1.69,$1.41,Easy,17
body care,44197,-7%,-10%,115408,Beauty & Personal Care,$1.64,$1.22,Easy,20
lume body wash,41193,14%,-10%,104880,Beauty & Personal Care,---,---,Easy,18
bath & shower gels,38720,-14%,-7%,40070,Beauty & Personal Care,$1.10,$0.98,Easy,17
attitude body wash,37175,15%,-3%,51742,Beauty & Personal Care,$3.01,$3.15,Difficult,34
body wash for women,36657,48%,6%,672825,Beauty & Personal Care,$2.72,$2.80,Somewhat Difficult,18
vanilla body wash,34654,-9%,-20%,59950,Beauty & Personal Care,$1.86,$1.33,Easy,40
nivea body wash,33572,-7%,-3%,52406,Beauty & Personal Care,$1.89,$2.06,Easy,17
neutrogena body wash,33229,-7%,-16%,53151,Beauty & Personal Care,$1.49,$1.03,Easy,34
harrys body wash,32640,38%,5%,49318,Beauty & Personal Care,$1.14,$1.02,Easy,34
necessaire,32569,0%,-24%,121206,Beauty & Personal Care,$0.83,$0.89,Easy,52
eczema body wash,32196,-15%,22%,59703,Beauty & Personal Care,$1.76,$1.52,Moderate,18
jabon de baño,31048,2%,8%,69034,Beauty & Personal Care,$0.90,$0.89,Easy,18
coco and eve,30424,15%,-1%,130879,Beauty & Personal Care,$0.80,$1.37,Easy,20
body skin care products,30362,-4%,-1%,36434,Beauty & Personal Care,$1.11,$1.42,Easy,18
guest bathroom essentials,30231,9%,-1%,31131,Beauty & Personal Care,---,---,Easy,17
philosophy body wash,30121,-6%,-40%,38671,Beauty & Personal Care,$4.11,$3.09,Easy,53
olay body wash for women,29971,11%,7%,37631,Beauty & Personal Care,$1.80,$1.28,Very Difficult,20
moisturizing body wash,29581,-24%,24%,58426,Beauty & Personal Care,$1.84,$2.22,Moderate,19
kiehls,29517,-1%,-37%,142380,Beauty & Personal Care,$1.09,$1.08,Easy,17
liquid soap,29355,6%,1%,242636,Beauty & Personal Care,$1.63,$1.57,Easy,17
shower gel body wash,29250,0%,-15%,50175,Beauty & Personal Care,$1.64,$1.31,Easy,34
natural body wash,28291,0%,0%,55201,Beauty & Personal Care,$2.46,$2.62,Easy,70
organic body wash,27728,8%,1%,43906,Beauty & Personal Care,$2.93,$2.63,Easy,34
mary kay products,26969,-3%,1%,30947,Beauty & Personal Care,$0.78,$0.76,Easy,17
cetaphil body wash,26769,13%,-10%,41915,Beauty & Personal Care,$0.57,$0.72,Moderate,36
loccitane shower oil,26514,-11%,-20%,30435,Beauty & Personal Care,$0.98,$1.13,Easy,38
cerave body wash,26369,-2%,1%,66998,Beauty & Personal Care,$0.83,$0.68,Easy,34
sensitive skin body wash,26042,0%,13%,90172,Beauty & Personal Care,$1.83,$1.49,Easy,36
salt and stone body mist,25798,37%,-4%,32614,Beauty & Personal Care,---,---,Easy,18
saltair body wash,24893,0%,-11%,32519,Beauty & Personal Care,---,---,Moderate,70
fragrance free body wash,24563,8%,19%,34781,Beauty & Personal Care,$5.14,$1.43,Easy,45
aesop,24453,-15%,-4%,87208,Beauty & Personal Care,$1.28,$2.21,Very Difficult,74
unscented body wash,24433,-5%,18%,42537,Beauty & Personal Care,$6.71,$2.45,Easy,23
natural soap,23768,7%,6%,122635,Beauty & Personal Care,$1.56,$2.26,Easy,17
necessaire body lotion,23548,130%,35%,25952,Beauty & Personal Care,$1.35,$0.76,Easy,20
athena body wash,23021,158%,278%,28893,Beauty & Personal Care,---,---,Easy,69
barefoot dreams,22944,-23%,-35%,95905,"Clothing, Shoes & Jewelry",$1.32,$1.35,Very Difficult,17
women body wash,22889,2%,6%,27768,Beauty & Personal Care,$4.36,$3.19,Easy,35
lush,22718,1%,7%,112372,Beauty & Personal Care,$0.73,$1.51,Somewhat Difficult,17
glycolic acid body wash,22596,33%,25%,41386,Beauty & Personal Care,$1.26,$2.09,Easy,20
aesop hand soap,22312,-13%,3%,26850,Beauty & Personal Care,$2.46,$2.00,Easy,22
bioderma shower oil,21572,-13%,131%,25259,Beauty & Personal Care,$0.71,$4.42,Easy,18
vanicream body wash,21524,4%,15%,28689,Beauty & Personal Care,$0.62,$0.63,Easy,20
luxury,21420,-8%,-62%,230035,Home & Kitchen,$1.73,$1.18,Difficult,17
necessaire body wash,21083,13%,-23%,26033,Beauty & Personal Care,$1.16,$1.16,Easy,114
cyklar body wash,21068,-29%,45%,26558,Beauty & Personal Care,---,---,Easy,94
le labo,20334,27%,10%,77189,Beauty & Personal Care,$0.75,$0.83,Somewhat Difficult,70
sol de janeiro 59,19932,11%,-11%,28841,Beauty & Personal Care,---,---,Easy,34
raw sugar body wash,19600,1%,9%,26249,Beauty & Personal Care,$2.11,$1.70,Easy,36
shower oil for women,19311,-12%,65%,30042,Beauty & Personal Care,$0.95,$1.20,Easy,18
non toxic body wash,19290,15%,18%,29286,Beauty & Personal Care,$0.71,$1.28,Easy,74
bath soaps,18238,-9%,20%,23104,Beauty & Personal Care,$2.37,$2.51,Easy,17
women's body wash,18224,3%,9%,21869,Beauty & Personal Care,$2.30,$1.62,Easy,35
bodywash womens,17964,-5%,7%,19487,Beauty & Personal Care,$4.01,$2.24,Easy,17
