Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
body wash,2157633,7%,1%,5612338,Beauty & Personal Care,$3.06,$2.77,Very Difficult,19
sol de janeiro,908303,20%,-60%,1200669,Beauty & Personal Care,$1.82,$1.79,Very Difficult,17
body wash women,493288,3%,-4%,664473,Beauty & Personal Care,$2.68,$2.67,Easy,34
mens body wash,367991,3%,-25%,440666,Beauty & Personal Care,$5.20,$4.77,Easy,34
soap,345478,7%,-11%,6757611,Beauty & Personal Care,$1.51,$1.53,Very Difficult,17
body wash men,266106,0%,-11%,425762,Beauty & Personal Care,$1.96,$3.12,Easy,34
native body wash,227060,13%,16%,269536,Beauty & Personal Care,$0.90,$1.76,Very Difficult,17
salt and stone,179665,-17%,-33%,511614,Beauty & Personal Care,$2.34,$1.83,Easy,49
smelling salts,174056,9%,-20%,231489,Health & Household,$1.00,$0.77,Moderate,17
method body wash,151057,1%,-27%,240312,Beauty & Personal Care,$0.82,$1.19,Very Difficult,17
saltair,149249,11%,-4%,321037,Beauty & Personal Care,$0.43,$1.06,Very Difficult,17
rhode,144734,-12%,-9%,384675,Beauty & Personal Care,$0.55,$0.65,Difficult,17
salt and stone deodorant,128777,122%,264%,151219,Beauty & Personal Care,$3.19,$3.19,Easy,36
bombas,123190,45%,-44%,1040928,"Clothing, Shoes & Jewelry",$0.48,$0.59,Difficult,17
antibacterial body wash,114896,0%,9%,181311,Beauty & Personal Care,$4.31,$2.23,Somewhat Difficult,17
bioderma,113569,5%,-10%,287504,Beauty & Personal Care,$2.35,$2.10,Very Difficult,17
body soap,104811,1%,1%,266084,Beauty & Personal Care,$2.04,$1.64,Easy,17
dry brushing body brush,101586,3%,21%,130586,Beauty & Personal Care,$1.69,$1.53,Very Difficult,17
dermalogica,88712,-2%,-3%,166871,Beauty & Personal Care,$1.68,$1.45,Very Difficult,17
naturium body wash,87811,23%,39%,123120,Beauty & Personal Care,---,---,Easy,36
cremo body wash,84037,-3%,-1%,114441,Beauty & Personal Care,$0.54,$0.78,Moderate,34
drmtlgy,83465,-7%,25%,315829,Beauty & Personal Care,$0.80,$0.92,Very Difficult,17
ralph lauren women,81950,9%,-39%,234645,"Clothing, Shoes & Jewelry",$0.65,$0.56,Moderate,17
shower oil,79628,-21%,12%,238553,Beauty & Personal Care,$0.94,$2.22,Difficult,17
shower gel,77328,-4%,-16%,187424,Beauty & Personal Care,$1.67,$1.63,Easy,34
dr squatch,70081,-3%,-44%,433971,Beauty & Personal Care,$1.62,$2.08,Easy,17
kopari,68025,40%,32%,164316,Beauty & Personal Care,$3.73,$3.40,Very Difficult,17
salt and stone body wash,66680,15%,36%,80283,Beauty & Personal Care,---,---,Easy,127
body exfoliator,63600,7%,12%,156559,Beauty & Personal Care,$1.13,$1.58,Moderate,17
womens body wash,62737,2%,-11%,77826,Beauty & Personal Care,$4.49,$3.14,Easy,17
men body wash,60513,-7%,-18%,210421,Beauty & Personal Care,$5.13,$4.92,Easy,34
men's body wash,58738,1%,-15%,70486,Beauty & Personal Care,$4.69,$4.88,Moderate,34
skin so soft,58456,146%,19%,202067,Beauty & Personal Care,$0.81,$0.74,Very Difficult,17
bodywash,58337,8%,-6%,159904,Beauty & Personal Care,$1.19,$1.09,Easy,17
skinceuticals,54980,40%,4%,113945,Beauty & Personal Care,$1.69,$1.41,Easy,17
body wash sensitive skin,50836,6%,17%,97623,Beauty & Personal Care,$2.76,$1.62,Easy,34
body wash for men,50830,71%,-6%,425762,Beauty & Personal Care,$2.61,$2.62,Moderate,34
travel size body wash,49261,16%,15%,76415,Beauty & Personal Care,$1.39,$1.27,Moderate,36
exfoliating body wash,48297,10%,11%,74590,Beauty & Personal Care,$3.55,$1.85,Moderate,17
mens soap,47114,1%,-33%,153088,Beauty & Personal Care,$1.25,$2.58,Easy,17
