Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
conditioner,442979,11%,4%,4384270,Beauty & Personal Care,$2.19,$2.04,Very Difficult,41
leave in conditioner,436705,0%,10%,1020968,Beauty & Personal Care,$2.42,$2.27,Somewhat Difficult,18
olaplex,235168,9%,-23%,557428,Beauty & Personal Care,$0.81,$0.88,Very Difficult,18
conditioner for women,138874,12%,-1%,302327,Beauty & Personal Care,$2.29,$1.93,Easy,18
ouai,118136,4%,-29%,324319,Beauty & Personal Care,$4.52,$3.22,Very Difficult,34
hair conditioner,116339,9%,13%,403543,Beauty & Personal Care,$2.65,$2.69,Moderate,18
paul mitchell shampoo,74034,5%,-5%,136434,Beauty & Personal Care,$0.64,$1.10,Moderate,19
olaplex shampoo and conditioner,68757,14%,-17%,81149,Beauty & Personal Care,$1.21,$1.20,Easy,35
olaplex no 3,61848,74%,66%,88772,Beauty & Personal Care,$0.93,$0.65,Easy,18
oribe hair products,60619,2%,-2%,69789,Beauty & Personal Care,$2.41,$1.82,Easy,20
bumble and bumble,54706,2%,-14%,134510,Beauty & Personal Care,$0.95,$0.88,Very Difficult,18
oribe,50874,17%,-17%,224245,Beauty & Personal Care,$6.27,$1.61,Very Difficult,21
redken acidic bonding concentrate,41388,9%,10%,50108,Beauty & Personal Care,---,---,Difficult,18
ouidad hair products for curly hair,38127,15%,-6%,39504,Beauty & Personal Care,$2.33,$2.32,Easy,18
living proof,35561,4%,-31%,178346,Beauty & Personal Care,$2.52,$3.06,Very Difficult,18
based leave in conditioner,35027,27%,62%,48098,Beauty & Personal Care,---,---,Easy,18
elvive,34836,14%,40%,278037,Beauty & Personal Care,$0.93,$0.63,Very Difficult,18
ouai shampoo and conditioner,34752,8%,14%,44101,Beauty & Personal Care,$1.05,$1.99,Easy,42
hair conditioner for women,33759,10%,-3%,47651,Beauty & Personal Care,$1.85,$2.21,Easy,55
biolage conditioner,32932,2%,-4%,173346,Beauty & Personal Care,$0.63,$1.02,Easy,36
detangler,31641,-1%,4%,554803,Beauty & Personal Care,$1.79,$1.39,Very Difficult,42
paul mitchell conditioner,31237,6%,-1%,64550,Beauty & Personal Care,$1.18,$1.11,Easy,79
unite 7 seconds detangler,30823,27%,19%,31723,Beauty & Personal Care,$0.71,$0.78,Easy,40
conditioner curly hair,30668,3%,-3%,206307,Beauty & Personal Care,$7.32,$3.40,Easy,18
conditioner for men,30384,6%,15%,128218,Beauty & Personal Care,$3.43,$2.96,Moderate,39
ogx conditioner,29701,18%,6%,74908,Beauty & Personal Care,$0.74,$1.08,Easy,18
kerastase conditioner,29506,5%,7%,64202,Beauty & Personal Care,$0.88,$1.21,Easy,35
redken conditioner,28471,4%,3%,244488,Beauty & Personal Care,$0.82,$1.25,Easy,54
oribe shampoo,28458,6%,-11%,50960,Beauty & Personal Care,$1.37,$4.64,Moderate,21
olaplex shampoo,26021,-4%,-6%,124353,Beauty & Personal Care,$1.17,$1.34,Easy,18
hair thickening products for women,25889,-12%,5%,31067,Beauty & Personal Care,---,---,Easy,18
ouai detox shampoo,25279,12%,21%,28944,Beauty & Personal Care,---,---,Somewhat Difficult,21
curly hair conditioner,25172,4%,3%,120681,Beauty & Personal Care,$2.55,$3.74,Easy,18
ouidad,24459,12%,-22%,112007,Beauty & Personal Care,$0.72,$4.54,Very Difficult,18
paul mitchell,24457,1%,-19%,279448,Beauty & Personal Care,$1.56,$1.15,Very Difficult,22
olaplex no 6,24358,17%,-2%,37482,Beauty & Personal Care,$0.76,$0.76,Easy,18
leave in conditioner men,24120,11%,1%,45226,Beauty & Personal Care,$1.92,$2.25,Easy,18
hair detangler,22720,-1%,5%,139570,Beauty & Personal Care,$1.31,$1.49,Moderate,19
tgin,22683,1%,25%,82477,Beauty & Personal Care,$3.21,$1.06,Very Difficult,18
ouai shampoo,21294,-9%,-23%,110479,Beauty & Personal Care,$0.97,$1.91,Easy,22
raw sugar shampoo and conditioner,19746,40%,86%,21555,Beauty & Personal Care,$0.69,$0.83,Moderate,18
ouai leave in conditioner,19559,-3%,-25%,25654,Beauty & Personal Care,$6.58,$1.66,Easy,35
acondicionador para cabello,18737,19%,26%,23059,Beauty & Personal Care,$1.68,$1.70,Easy,18
redken leave in conditioner,16710,4%,14%,28342,Beauty & Personal Care,$1.27,$0.97,Easy,18
design essentials conditioner,16255,1%,16%,47948,Beauty & Personal Care,$2.87,$2.00,Easy,36
quai hair products,16202,0%,-5%,19442,Beauty & Personal Care,$1.46,$1.46,Easy,34
protein hair treatment,15912,11%,16%,23768,Beauty & Personal Care,$1.82,$1.33,Easy,18
olaplex conditioner,15826,4%,-4%,110764,Beauty & Personal Care,$0.71,$1.11,Easy,18
deep conditioning hair treatment,15781,-5%,19%,17606,Beauty & Personal Care,$0.59,$1.42,Easy,18
sun in hair lightener,15252,59%,55%,42718,Beauty & Personal Care,$0.75,$0.74,Easy,18
leave in conditioner for fine hair,15165,-17%,24%,22899,Beauty & Personal Care,$2.99,$1.71,Easy,18
malin goetz,15145,0%,-28%,36098,Beauty & Personal Care,$7.49,$4.45,Easy,18
pureology conditioner,14691,11%,-10%,125851,Beauty & Personal Care,$3.95,$4.98,Easy,36
mens conditioner,14634,-5%,12%,101743,Beauty & Personal Care,$2.57,$2.86,Easy,35
color conditioner,14413,40%,17%,160375,Beauty & Personal Care,$2.11,$3.36,Moderate,22
native conditioner,14277,23%,7%,128883,Beauty & Personal Care,---,---,Easy,56
nexxus conditioner,13435,7%,11%,69574,Beauty & Personal Care,$1.71,$4.53,Easy,18
cerave conditioner,13129,8%,94%,57512,Beauty & Personal Care,---,---,Easy,18
conditioner for dry hair,12382,10%,-8%,94509,Beauty & Personal Care,$5.38,$2.97,Easy,18
quai,11993,13%,-17%,45400,Beauty & Personal Care,$1.04,$1.26,Easy,18
ouai curl cream,11479,8%,42%,11929,Beauty & Personal Care,---,---,Easy,20
hair conditioner for damaged dry hair,11076,11%,11%,13291,Beauty & Personal Care,---,---,Easy,35
kinky-curly knot today leave-in conditioner,11051,54%,120%,13261,Beauty & Personal Care,---,---,Easy,35
oribe conditioner,11037,-6%,9%,29292,Beauty & Personal Care,$1.47,$4.27,Moderate,38
odele,10865,19%,22%,65866,Beauty & Personal Care,$0.93,$0.98,Very Difficult,18
olaplex no 4,10640,43%,-1%,24056,Beauty & Personal Care,$0.78,$0.81,Easy,18
wella conditioner,10389,35%,-11%,38442,Beauty & Personal Care,$0.81,$1.03,Easy,36
conditioner for fine hair,10159,15%,18%,45188,Beauty & Personal Care,$4.26,$2.26,Moderate,74
aquage hair products,10144,6%,-14%,11044,Beauty & Personal Care,$1.17,$1.19,Easy,18
rusk hair products,10079,8%,-6%,12095,Beauty & Personal Care,$1.62,$1.20,Easy,18
john frieda ultra filler for fine hair,10034,12%,7%,10879,Beauty & Personal Care,---,---,Easy,18
davines conditioner,9900,9%,2%,23899,Beauty & Personal Care,$1.60,$2.40,Easy,18
paul mitchell shampoo and conditioner,9746,-10%,-2%,17586,Beauty & Personal Care,$1.19,$1.33,Easy,19
kristin ess conditioner,9338,2%,37%,46378,Beauty & Personal Care,$1.34,$0.81,Easy,18
redken all soft conditioner,9326,12%,39%,23833,Beauty & Personal Care,$0.60,$1.19,Moderate,18
nioxin conditioner,9247,-5%,-8%,73102,Beauty & Personal Care,$1.03,$4.61,Easy,18
acure shampoo and conditioner,9008,-3%,3%,10365,Beauty & Personal Care,$4.35,$3.33,Easy,18
purology,8993,23%,-14%,51444,Beauty & Personal Care,$1.51,$2.20,Easy,18
thick,8892,-1%,11%,693604,Grocery & Gourmet Food,---,---,Very Difficult,18
elvive conditioner,8874,12%,21%,65465,Beauty & Personal Care,$1.19,$0.91,Easy,18
biolage hydrasource conditioner,8857,11%,32%,12115,Beauty & Personal Care,$1.18,$1.20,Easy,18
ouai conditioner,8731,-9%,8%,78831,Beauty & Personal Care,$1.18,$2.33,Easy,52
infusium 23 leave in treatment,8656,-6%,40%,9556,Beauty & Personal Care,---,---,Easy,18
innersense conditioner,8533,4%,8%,31524,Beauty & Personal Care,$0.50,$1.10,Easy,18
hydrating conditioner,8473,13%,12%,45608,Beauty & Personal Care,$3.11,$2.46,Somewhat Difficult,36
olaplex leave in conditioner,8422,14%,17%,13674,Beauty & Personal Care,$0.75,$1.24,Easy,35
conditioner for curly hair,8410,11%,4%,206307,Beauty & Personal Care,$6.72,$3.20,Easy,18
odele leave in conditioner,8285,49%,48%,9324,Beauty & Personal Care,---,---,Easy,18
biotin oil,8250,-16%,23%,24767,Beauty & Personal Care,$2.01,$1.71,Moderate,18
avalon organics conditioner,8227,10%,-1%,10674,Beauty & Personal Care,$2.01,$1.33,Somewhat Difficult,22
aveeno conditioner,8179,28%,-7%,31280,Beauty & Personal Care,$3.01,$2.90,Easy,18
hair conditioner for men,8002,5%,1%,12156,Beauty & Personal Care,$1.67,$2.70,Moderate,18
olaplex no 5,7953,37%,35%,24320,Beauty & Personal Care,$0.65,$0.82,Easy,35
moisturizing conditioner,7951,-4%,11%,36432,Beauty & Personal Care,$3.75,$4.79,Moderate,18
pureology leave in conditioner,7778,25%,1%,12359,Beauty & Personal Care,$0.92,$0.79,Easy,18
kevin murphy conditioner,7735,-13%,12%,19682,Beauty & Personal Care,$0.82,$1.16,Easy,18
maui conditioner,7542,9%,26%,27519,Beauty & Personal Care,$1.11,$0.95,Easy,18
matrix conditioner,7530,2%,-3%,74429,Beauty & Personal Care,$1.11,$1.42,Easy,36
travel size leave in conditioner,7457,39%,45%,10092,Beauty & Personal Care,---,---,Easy,23
japanese hair care,7428,-3%,-2%,8328,Beauty & Personal Care,$0.81,$0.86,Easy,18
monday conditioner,7174,4%,9%,64263,Beauty & Personal Care,---,---,Easy,22
curly conditioner,6951,5%,5%,150908,Beauty & Personal Care,$7.05,$3.31,Easy,35
pattern conditioner,6884,24%,9%,33114,Beauty & Personal Care,---,---,Easy,39
conditioner for damaged hair,6778,5%,31%,74361,Beauty & Personal Care,$2.43,$2.49,Easy,18
awapuhi shampoo,6759,15%,-12%,17436,Beauty & Personal Care,$6.19,$3.82,Moderate,24
aussie leave in conditioner,6718,-14%,28%,11557,Beauty & Personal Care,$1.16,$1.07,Easy,18
honest shampoo and conditioner,6714,13%,22%,8719,Baby,$1.19,$1.51,Easy,18
biotin conditioner,6677,2%,3%,48688,Beauty & Personal Care,$1.93,$2.23,Somewhat Difficult,18
amika hydro rush leave in conditioner,6659,101%,32%,8824,Beauty & Personal Care,---,---,Easy,18
ouai dry shampoo,6638,4%,17%,8244,Beauty & Personal Care,$1.34,$1.94,Easy,18
honest conditioner,6567,4%,14%,25103,Baby,$0.71,$1.12,Easy,20
fable and mane,6499,17%,-14%,22666,Beauty & Personal Care,---,---,Moderate,18
ouai perfume,6477,18%,-12%,12839,Beauty & Personal Care,$1.82,$1.98,Easy,18
mens leave in conditioner,6454,0%,4%,9474,Beauty & Personal Care,$1.70,$2.41,Easy,18
oribe shampoo and conditioner,6450,12%,-19%,9869,Beauty & Personal Care,$1.75,$1.75,Easy,65
its a 10 miracle conditioner,6446,64%,12%,13679,Beauty & Personal Care,---,---,Easy,18
oribe gold lust,6393,28%,-5%,17725,Beauty & Personal Care,$2.41,$3.00,Very Difficult,20
lolavie,6173,-22%,-15%,23164,Beauty & Personal Care,---,---,Very Difficult,18
oribe travel size hair products,6136,39%,24%,7363,Beauty & Personal Care,$7.58,$4.40,Easy,41
paul mitchell awapuhi shampoo,6038,15%,21%,8158,Beauty & Personal Care,$2.05,$1.61,Moderate,19
moerie,6011,78%,18%,33079,Beauty & Personal Care,---,---,Very Difficult,18
biolage leave in conditioner,5952,-1%,3%,9618,Beauty & Personal Care,$0.88,$1.00,Easy,19
olaplex no 8,5906,19%,0%,14443,Beauty & Personal Care,---,---,Easy,18
paul mitchell leave in conditioner,5831,-8%,8%,7654,Beauty & Personal Care,---,---,Easy,40
travel size conditioner,5814,33%,1%,150990,Beauty & Personal Care,$2.00,$1.61,Easy,84
wow extra large bombshell volumizer,5783,-4%,9%,7340,Beauty & Personal Care,---,---,Easy,18
crown affair leave in conditioner,5687,32%,28%,6137,Beauty & Personal Care,---,---,Easy,18
ouidad shampoo,5548,7%,7%,14955,Beauty & Personal Care,$2.46,$2.46,Easy,18
loreal everpure conditioner,5542,1%,20%,24662,Beauty & Personal Care,$0.57,$1.49,Easy,22
davines shampoo and conditioner,5406,9%,14%,5856,Beauty & Personal Care,$1.70,$2.38,Easy,18
ouai fine hair shampoo,5402,3%,1%,8126,Beauty & Personal Care,---,---,Moderate,38
briogeo conditioner,5386,14%,-8%,15831,Beauty & Personal Care,$0.74,$1.27,Easy,18
travel conditioner,5362,19%,13%,339919,Beauty & Personal Care,$1.53,$1.73,Easy,83
living proof conditioner,5317,7%,-17%,18789,Beauty & Personal Care,$2.96,$3.08,Easy,36
travel leave in conditioner,5303,35%,64%,17219,Beauty & Personal Care,$1.07,$1.37,Easy,22
redken all soft shampoo and conditioner,5289,19%,19%,10957,Beauty & Personal Care,---,---,Easy,18
acure conditioner,5287,-14%,2%,17875,Beauty & Personal Care,$1.12,$3.73,Easy,35
shampoo refill,5194,5%,1%,20489,Beauty & Personal Care,$0.89,$1.26,Moderate,44
hair conditioner for color treated hair,5154,3%,6%,5604,Beauty & Personal Care,---,---,Easy,18
verb ghost conditioner,5055,31%,38%,7799,Beauty & Personal Care,$0.90,$1.20,Moderate,18
