Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
lotion,599874,-4%,-1%,3483767,Beauty & Personal Care,$2.31,$1.04,Very Difficult,19
vaseline,421432,-31%,12%,1036445,Health & Household,$0.55,$0.66,Very Difficult,17
body lotion,395210,-4%,-7%,1135409,Beauty & Personal Care,$2.27,$2.47,Very Difficult,36
salt and stone,174251,-12%,-25%,496016,Beauty & Personal Care,$2.34,$1.83,Easy,18
saltair,127061,-2%,-3%,285276,Beauty & Personal Care,$0.43,$1.06,Very Difficult,34
amlactin lotion,106079,17%,41%,147158,Beauty & Personal Care,$0.65,$1.72,Easy,40
ouai,100563,-1%,-25%,307574,Beauty & Personal Care,$4.52,$3.22,Very Difficult,35
body moisturizers,95132,3%,20%,99845,Beauty & Personal Care,$1.68,$1.68,Easy,19
body lotion for women,89661,-8%,-8%,117235,Beauty & Personal Care,$2.42,$2.41,Moderate,54
retinol body lotion,88534,0%,123%,204461,Beauty & Personal Care,$1.27,$1.59,Difficult,19
lotion for women,77104,-24%,-39%,272531,Beauty & Personal Care,$2.36,$1.79,Easy,54
palmers,70116,-7%,-8%,409053,Beauty & Personal Care,$0.66,$0.87,Easy,19
salt and stone body wash,69699,17%,35%,84027,Beauty & Personal Care,---,---,Easy,62
eos vanilla cashmere,66835,-20%,-42%,97611,Beauty & Personal Care,---,---,Easy,52
cerave pm facial moisturizing lotion,59991,5%,59%,62684,Beauty & Personal Care,---,---,Easy,18
laroche-posay moisturizer,59872,4%,32%,71846,Beauty & Personal Care,$0.76,$0.90,Easy,22
cerave daily moisturizing lotion,56071,9%,42%,66104,Beauty & Personal Care,$0.54,$0.52,Easy,35
body cream,52732,-9%,-2%,170847,Beauty & Personal Care,$1.11,$1.48,Moderate,19
travel lotion,49767,17%,-10%,202664,Beauty & Personal Care,$1.74,$1.34,Easy,36
vanicream moisturizing cream,47937,61%,102%,54790,Beauty & Personal Care,$0.69,$0.60,Easy,18
lubriderm lotion,46302,-19%,23%,74244,Beauty & Personal Care,$0.67,$0.68,Easy,35
osea,45417,3%,-18%,167844,Beauty & Personal Care,$0.81,$1.04,Very Difficult,37
bath and body works lotion,43795,-4%,-43%,61744,Beauty & Personal Care,---,---,Easy,33
weleda skin food,43098,-21%,4%,63162,Beauty & Personal Care,$1.42,$1.69,Difficult,18
travel size lotion,42832,3%,-14%,118213,Beauty & Personal Care,$1.11,$1.32,Easy,18
drmtlgy retinol body lotion,42619,41%,1083%,44509,Beauty & Personal Care,---,---,Easy,35
mad hippie,41410,14%,4%,88250,Beauty & Personal Care,$0.90,$0.89,Very Difficult,20
body lotion for dry skin,40780,-19%,10%,56759,Beauty & Personal Care,$5.00,$5.00,Somewhat Difficult,22
peach and lily,36007,1%,-4%,58787,Beauty & Personal Care,$0.73,$0.85,Easy,18
eos body lotion,34688,-4%,-21%,62482,Beauty & Personal Care,$1.62,$1.18,Easy,54
necessaire,34348,-9%,-28%,122079,Beauty & Personal Care,$0.83,$0.89,Easy,60
okeefe working hands,34089,-54%,12%,38071,Beauty & Personal Care,$1.93,$1.08,Easy,17
aestura,33993,1%,47%,112784,Beauty & Personal Care,$1.48,$0.97,Difficult,36
besque magic body firming oil,33931,18%,8%,36088,Beauty & Personal Care,---,---,Easy,18
vanilla lotion,32895,-5%,-36%,78393,Beauty & Personal Care,$0.89,$0.85,Easy,19
body skin care products,31497,-12%,0%,37796,Beauty & Personal Care,$1.11,$1.42,Easy,37
native lotion,30932,-2%,8%,55821,Beauty & Personal Care,---,---,Easy,18
lotion for dry skin,29907,-19%,12%,232247,Beauty & Personal Care,$3.90,$3.64,Somewhat Difficult,18
firming body lotion,28953,22%,50%,81384,Beauty & Personal Care,$2.24,$1.98,Somewhat Difficult,19
curel lotion,28575,-11%,9%,49819,Beauty & Personal Care,$0.50,$0.49,Easy,52
salt and stone body mist,28411,49%,-2%,38619,Beauty & Personal Care,---,---,Easy,18
unscented lotion,27498,-4%,17%,53425,Beauty & Personal Care,$3.97,$2.71,Easy,19
josie maran body butter,27073,-7%,-7%,40156,Beauty & Personal Care,$1.77,$1.35,Easy,37
bum bum cream,26985,-11%,-20%,54816,Beauty & Personal Care,$0.54,$0.79,Somewhat Difficult,25
aesop,26324,-13%,-26%,90516,Beauty & Personal Care,$1.28,$2.21,Very Difficult,20
avon skin so soft,25786,73%,20%,58611,Beauty & Personal Care,$0.57,$0.68,Very Difficult,18
skin firming and tightening lotion,24641,32%,43%,26397,Beauty & Personal Care,---,---,Easy,19
jergens natural glow,23473,35%,35%,137968,Beauty & Personal Care,$6.13,$1.61,Very Difficult,22
nivea in shower body lotion,23006,65%,78%,26783,Beauty & Personal Care,---,---,Easy,18
illiyoon,22866,1%,-5%,125246,Beauty & Personal Care,$0.91,$0.80,Difficult,36
first aid beauty ultra repair cream,22046,-11%,31%,26714,Beauty & Personal Care,---,---,Easy,19
necessaire body wash,21889,14%,-23%,26719,Beauty & Personal Care,$1.16,$1.16,Easy,39
nivea skin firming body lotion,21285,24%,48%,21860,Beauty & Personal Care,---,---,Easy,18
lactic acid lotion,21029,63%,73%,43447,Beauty & Personal Care,$1.30,$2.12,Moderate,19
in shower body lotion,20917,-16%,17%,55980,Beauty & Personal Care,$1.41,$1.37,Easy,19
cyklar body wash,20385,-33%,30%,25763,Beauty & Personal Care,---,---,Easy,38
gold bond retinol overnight body lotion,20159,53%,130%,24034,Beauty & Personal Care,---,---,Easy,19
gold bond hand cream,19805,-31%,56%,35424,Beauty & Personal Care,$0.48,$0.56,Easy,18
josie maran,19789,-13%,-12%,77554,Beauty & Personal Care,$1.01,$1.10,Very Difficult,24
lubriderm,19690,-9%,40%,97600,Beauty & Personal Care,$0.50,$0.72,Very Difficult,37
biossance,19312,-7%,-23%,51317,Beauty & Personal Care,$0.55,$0.73,Very Difficult,18
body lotion for men,19305,-16%,0%,31610,Beauty & Personal Care,$2.34,$1.49,Moderate,22
naturium body lotion,18542,21%,29%,36635,Beauty & Personal Care,---,---,Easy,36
lotion travel size,18143,8%,-27%,109029,Beauty & Personal Care,$1.41,$1.42,Easy,19
besque magic body oil,18030,33%,62%,62531,Beauty & Personal Care,---,---,Easy,22
necessaire body lotion,17556,127%,35%,19790,Beauty & Personal Care,$1.35,$0.76,Easy,95
oud,17391,14%,7%,183315,Beauty & Personal Care,$0.85,$0.97,Very Difficult,22
perricone md,16865,21%,-35%,32208,Beauty & Personal Care,$6.53,$2.58,Very Difficult,20
cerave moisturizing lotion,16777,19%,29%,201038,Beauty & Personal Care,$0.66,$0.76,Easy,18
mens body lotion,15889,-22%,-1%,23222,Beauty & Personal Care,$2.99,$1.94,Easy,18
osea skin care products,15611,12%,27%,18733,Beauty & Personal Care,$1.56,$1.56,Easy,57
travel size body lotion,15548,29%,11%,18892,Beauty & Personal Care,$1.07,$1.08,Easy,52
spray lotion,15304,5%,55%,41817,Beauty & Personal Care,$0.78,$1.11,Moderate,18
body serum,15281,-10%,26%,79843,Beauty & Personal Care,$2.17,$1.43,Difficult,19
salt and stone perfume,15229,-6%,-8%,20609,Beauty & Personal Care,---,---,Easy,18
necessaire deodorant,15062,40%,125%,17596,Beauty & Personal Care,---,---,Easy,18
eucerin intensive repair lotion,15012,-11%,25%,16362,Beauty & Personal Care,$0.81,$0.83,Easy,17
body cream for women,14940,-6%,-11%,36214,Beauty & Personal Care,$1.34,$1.14,Easy,18
salt and stone lotion,14928,16%,4%,24872,Beauty & Personal Care,---,---,Easy,111
dr teals lotion,14868,-2%,-2%,20122,Beauty & Personal Care,$0.52,$0.58,Easy,23
body moisturizer,14657,9%,-9%,52837,Beauty & Personal Care,$1.74,$1.74,Somewhat Difficult,36
lotion bulk,14633,-10%,-33%,50566,Beauty & Personal Care,$1.56,$1.21,Easy,20
kiehl's ultra facial cream,14548,68%,131%,17458,Beauty & Personal Care,$0.62,$0.68,Moderate,18
attitude body lotion,14295,-3%,51%,16529,Beauty & Personal Care,$1.12,$1.45,Somewhat Difficult,35
esos body lotion,14210,-16%,-18%,889073,Beauty & Personal Care,---,---,Easy,77
vanilla body lotion,14206,-6%,-28%,24878,Beauty & Personal Care,$1.57,$0.92,Moderate,19
salt and stone body oil,13962,206%,592%,14635,Beauty & Personal Care,---,---,Easy,18
mini hand lotion,13714,-21%,-39%,21706,Beauty & Personal Care,$1.13,$1.04,Moderate,18
hand lotion pump,13586,-21%,-12%,17236,Beauty & Personal Care,$1.53,$1.45,Easy,35
elta md moisturizer,13176,-6%,7%,20603,Beauty & Personal Care,$2.54,$1.56,Easy,18
victoria secret lotion,12940,-7%,-29%,23369,Beauty & Personal Care,$0.75,$0.76,Easy,19
palmer,12891,13%,-38%,73927,Beauty & Personal Care,$0.65,$0.85,Very Difficult,17
nuxe,12805,27%,-28%,37084,Beauty & Personal Care,$0.76,$0.86,Very Difficult,24
body lotions,12777,15%,-5%,29207,Beauty & Personal Care,$2.00,$2.03,Easy,19
moisturizing lotion,12442,-12%,25%,268713,Beauty & Personal Care,$2.42,$0.84,Moderate,18
beauty from bees body serum,12440,-26%,18%,15491,Beauty & Personal Care,---,---,Easy,18
hand creams & lotions,12316,-30%,-32%,12766,Beauty & Personal Care,$0.88,$0.94,Easy,35
l occitane hand cream,12192,-22%,-13%,22440,Beauty & Personal Care,$0.40,$0.98,Easy,18
jergens ultra healing lotion,12179,-22%,2%,17949,Beauty & Personal Care,$0.58,$0.70,Easy,69
dove lotion for women,12061,0%,13%,293524,Beauty & Personal Care,$2.38,$1.11,Easy,18
jergens cherry almond lotion,12046,-5%,44%,12849,Beauty & Personal Care,$0.62,$0.56,Easy,35
cerave body lotion,11923,12%,30%,14295,Beauty & Personal Care,$0.75,$1.04,Easy,19
cyklar body oil,11839,-19%,19%,17741,Beauty & Personal Care,---,---,Easy,38
aquaphor spray,11775,-3%,12%,19270,Beauty & Personal Care,$0.47,$0.73,Easy,23
tom ford oud wood,11740,4%,-13%,16677,Beauty & Personal Care,$0.47,$0.53,Moderate,25
noodle and boo lotion,11697,34%,31%,18303,Baby,$0.91,$0.91,Easy,22
vitaliq ha hydrating body serum,11614,244%,0%,12025,Beauty & Personal Care,---,---,Easy,18
travel body lotion,11467,24%,18%,33133,Beauty & Personal Care,$1.38,$1.17,Moderate,53
shower lotion,11260,-20%,40%,100953,Beauty & Personal Care,$1.32,$1.35,Somewhat Difficult,20
native body lotion,11103,6%,63%,13769,Beauty & Personal Care,---,---,Moderate,18
organic body lotion,10871,-15%,-5%,17127,Beauty & Personal Care,$3.74,$1.85,Easy,18
travel hand lotion,10840,-14%,-28%,25930,Beauty & Personal Care,$2.21,$1.33,Easy,18
laroche posay triple repair moisturizing cream,10695,22%,78%,11709,Beauty & Personal Care,---,---,Easy,18
brazilian bum bum cream,10544,-19%,-24%,17771,Beauty & Personal Care,$0.88,$0.73,Moderate,20
in shower lotion,10486,-23%,24%,100953,Beauty & Personal Care,$1.16,$1.84,Difficult,19
cocokind moisturizer,10413,-2%,41%,12213,Beauty & Personal Care,$1.02,$2.00,Easy,19
quai,10405,3%,-11%,45881,Beauty & Personal Care,$1.04,$1.26,Easy,18
hand soap and lotion set,10351,-8%,-1%,25373,Beauty & Personal Care,---,---,Easy,18
cetaphil hydrating and firming cream,10200,1%,52%,15559,Beauty & Personal Care,---,---,Easy,19
la roche posay triple repair moisturizing cream,10123,1%,60%,14869,Beauty & Personal Care,---,---,Easy,18
honest lotion,9851,8%,2%,32676,Beauty & Personal Care,$0.75,$1.19,Easy,20
organic lotion,9816,-8%,-12%,41553,Beauty & Personal Care,$2.77,$2.00,Easy,19
crepe erase body firm,9741,-4%,13%,11689,Beauty & Personal Care,---,---,Easy,19
travel size hand lotion,9731,-15%,-31%,12840,Beauty & Personal Care,$1.54,$1.28,Easy,20
suave lotion,9697,-13%,-10%,18547,Beauty & Personal Care,$0.54,$0.68,Easy,34
body lotion moisturizing,9629,51%,123%,11429,Beauty & Personal Care,$1.16,$1.54,Easy,36
dermatology retinol body lotion,9620,16%,583%,10070,Beauty & Personal Care,---,---,Easy,36
kp lotion,9618,37%,32%,17003,Beauty & Personal Care,$1.94,$1.47,Easy,19
amlactin 15 lactic acid lotion,9468,32%,29%,10369,Beauty & Personal Care,---,---,Easy,18
one skin,9461,5%,-8%,29658,Beauty & Personal Care,$3.00,$0.35,Easy,19
goldbond body lotion,9230,-28%,3%,16649,Beauty & Personal Care,$0.44,$0.65,Easy,18
vanicream lotion,9217,-20%,-7%,24812,Beauty & Personal Care,$1.52,$0.66,Easy,19
eos fresh and cozy,9141,-17%,18%,26572,Beauty & Personal Care,---,---,Easy,18
alba botanica lotion,9128,-12%,19%,10947,Beauty & Personal Care,$8.02,$1.60,Easy,18
fragrance free lotion,9082,-17%,15%,27514,Beauty & Personal Care,$7.78,$1.90,Easy,19
oil of olay body lotion,8966,12%,18%,15391,Beauty & Personal Care,$1.41,$1.19,Easy,39
attitude lotion,8873,-3%,32%,35781,Beauty & Personal Care,$2.61,$1.15,Easy,71
keri lotion,8847,4%,26%,15423,Beauty & Personal Care,$0.65,$0.94,Easy,35
vasoline,8767,-17%,18%,14914,Health & Household,$3.01,$0.67,Easy,18
natural lotion,8583,-4%,-9%,37880,Beauty & Personal Care,$1.63,$1.94,Easy,36
