Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
shampoo and conditioner set,1059032,3%,-3%,1728241,Beauty & Personal Care,$2.34,$2.32,Moderate,18
amika,300845,33%,-25%,839420,Beauty & Personal Care,$3.43,$3.00,Very Difficult,16
shampoo and conditioner,264273,10%,-2%,2894507,Beauty & Personal Care,$2.00,$2.40,Difficult,37
clarifying shampoo,237013,2%,13%,397491,Beauty & Personal Care,$3.03,$2.28,Very Difficult,16
olaplex,235168,9%,-23%,557428,Beauty & Personal Care,$0.81,$0.88,Very Difficult,16
hair care,144348,-5%,-35%,327198,Beauty & Personal Care,$1.44,$1.44,Easy,16
redken,139027,16%,-14%,668804,Beauty & Personal Care,$4.78,$1.51,Very Difficult,16
ouai,118136,4%,-29%,324319,Beauty & Personal Care,$4.52,$3.22,Very Difficult,31
nizoral anti-dandruff shampoo,116556,2%,23%,139867,Beauty & Personal Care,$0.82,$0.80,Somewhat Difficult,16
shampoo for men,111847,-2%,-6%,239027,Beauty & Personal Care,$2.50,$2.98,Easy,18
kerastase shampoo,108812,9%,4%,149546,Beauty & Personal Care,$0.60,$0.85,Easy,32
biolage shampoo and conditioner,97661,-10%,-3%,121194,Beauty & Personal Care,$1.61,$1.43,Easy,18
native shampoo and conditioner,95764,19%,12%,112387,Beauty & Personal Care,---,---,Easy,18
shampoo for thinning hair for women,94529,-2%,31%,101309,Beauty & Personal Care,---,---,Easy,16
hair growth shampoo,91632,-5%,11%,155604,Beauty & Personal Care,$2.48,$2.94,Somewhat Difficult,18
detox,77781,12%,23%,746646,Health & Household,$1.28,$1.77,Very Difficult,16
ketoconazole shampoo,75523,4%,15%,133606,Beauty & Personal Care,$3.17,$2.78,Easy,37
native shampoo,74042,22%,11%,199072,Beauty & Personal Care,---,---,Easy,20
polar hair dye shampoo,72853,-11%,23%,96298,Beauty & Personal Care,---,---,Easy,16
pureology shampoo and conditioner,71163,8%,-8%,95007,Beauty & Personal Care,$5.88,$1.04,Easy,49
olaplex shampoo and conditioner,68757,14%,-17%,81149,Beauty & Personal Care,$1.21,$1.20,Easy,51
wella,66947,22%,0%,255525,Beauty & Personal Care,$0.67,$0.83,Very Difficult,16
color wow hair products,66481,-13%,-15%,75040,Beauty & Personal Care,$0.93,$1.30,Easy,16
redken extreme length shampoo,65982,44%,40%,73071,Beauty & Personal Care,$0.72,$0.72,Moderate,33
redken shampoo,64242,-7%,-23%,344911,Beauty & Personal Care,$0.68,$1.22,Easy,16
lange hair products,64241,-11%,-22%,66941,Beauty & Personal Care,$1.18,$1.42,Easy,16
biolage shampoo,62450,-9%,-14%,206488,Beauty & Personal Care,$1.21,$1.62,Easy,33
