Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
native shampoo,71740,15%,4%,190961,Beauty & Personal Care,---,---,Easy,21
biolage shampoo,60256,-8%,-16%,217020,Beauty & Personal Care,$1.21,$1.62,Easy,19
attitude shampoo,46912,10%,7%,79169,Beauty & Personal Care,$2.45,$3.05,Easy,21
garnier fructis shampoo,35956,13%,-2%,54354,Beauty & Personal Care,$1.63,$1.09,Easy,21
sulfate free shampoo,35380,3%,-4%,119178,Beauty & Personal Care,$2.10,$2.87,Moderate,37
california naturals shampoo,26460,39%,90%,35370,Beauty & Personal Care,---,---,Easy,41
organic shampoo,26229,-1%,3%,74001,Beauty & Personal Care,$1.34,$2.19,Easy,38
moisturizing shampoo,24418,-1%,2%,55836,Beauty & Personal Care,$4.52,$3.20,Moderate,37
natural shampoo,21775,5%,2%,83662,Beauty & Personal Care,$1.72,$2.93,Easy,37
avalon organics shampoo,21098,-3%,-2%,33548,Beauty & Personal Care,$3.48,$1.37,Easy,19
honest shampoo,20916,1%,-18%,92602,Baby,$0.89,$0.96,Easy,21
aussie shampoo,17762,6%,-19%,76949,Beauty & Personal Care,$5.82,$1.53,Easy,21
shampoo bottles,16037,7%,11%,162161,Beauty & Personal Care,$1.07,$1.13,Easy,19
coconut shampoo,15319,22%,-1%,49596,Beauty & Personal Care,$1.87,$1.24,Easy,20
fragrance free shampoo,13894,2%,9%,28953,Beauty & Personal Care,$2.84,$1.77,Moderate,19
love beauty and planet shampoo,13604,16%,22%,19336,Beauty & Personal Care,---,---,Moderate,37
food for soft matrix,13378,-12%,10%,14728,Beauty & Personal Care,---,---,Easy,21
monday shampoo,13167,-1%,-23%,88347,Beauty & Personal Care,$1.65,$1.65,Easy,21
loreal clarifying shampoo,13118,29%,147%,20398,Beauty & Personal Care,---,---,Easy,22
raw sugar shampoo,12527,-10%,51%,47116,Beauty & Personal Care,$0.85,$0.83,Moderate,41
shampo,12325,6%,2%,25887,Beauty & Personal Care,$1.11,$1.07,Very Difficult,37
vo5 shampoo,12222,-8%,12%,18612,Beauty & Personal Care,$0.90,$0.95,Easy,23
refillable shampoo and conditioner bottles,12209,23%,-1%,13530,Beauty & Personal Care,---,---,Easy,20
pert plus shampoo 2 in 1,9923,-3%,16%,12658,Beauty & Personal Care,$0.74,$0.88,Easy,22
bulk shampoo and conditioner,9255,22%,5%,12807,Beauty & Personal Care,$2.87,$2.05,Easy,56
shampoo bulk,9175,3%,-11%,27936,Beauty & Personal Care,$1.41,$1.59,Easy,120
soapbox shampoo and conditioner,9118,1%,32%,9978,Beauty & Personal Care,$1.98,$1.13,Easy,21
non toxic shampoo,8946,15%,5%,33808,Beauty & Personal Care,$1.72,$2.35,Easy,38
champu,8513,11%,2%,93194,Beauty & Personal Care,$1.10,$1.35,Easy,18
shampoo sulfate free,7991,-19%,-14%,29327,Beauty & Personal Care,$3.88,$2.84,Easy,19
renpure shampoo and conditioner,7939,32%,-17%,8389,Beauty & Personal Care,$3.98,$2.33,Easy,21
shampoo bottle,7873,7%,20%,28901,Beauty & Personal Care,$1.08,$1.14,Easy,19
renpure,7766,3%,1%,39141,Beauty & Personal Care,$5.08,$2.35,Difficult,24
paul mitchell awapuhi shampoo,7341,20%,24%,9450,Beauty & Personal Care,$2.05,$1.61,Moderate,21
cleansing shampoo,7169,24%,1%,26903,Beauty & Personal Care,$2.58,$1.60,Easy,19
prell shampoo original,7010,7%,-15%,8432,Beauty & Personal Care,$0.89,$0.89,Easy,21
herbal essence shampoo,6985,22%,-7%,19846,Beauty & Personal Care,$0.72,$1.03,Easy,21
mint shampoo,6853,4%,-14%,50203,Beauty & Personal Care,$2.13,$1.23,Somewhat Difficult,25
bulk shampoo,6831,11%,-19%,23075,Beauty & Personal Care,$3.70,$2.02,Easy,120
shampoo sin sal y sin sulfato,6623,0%,5%,7808,Beauty & Personal Care,---,---,Easy,38
jason shampoo,6589,-11%,27%,15258,Beauty & Personal Care,$0.88,$1.04,Easy,41
moisture shampoo,6544,3%,19%,122975,Beauty & Personal Care,$1.83,$3.10,Easy,37
shampoo refill,6486,6%,0%,21741,Beauty & Personal Care,$0.89,$1.26,Moderate,184
all natural shampoo and conditioner,6386,4%,3%,33132,Beauty & Personal Care,---,---,Easy,21
renpure shampoo,6191,4%,5%,18022,Beauty & Personal Care,$3.21,$2.40,Easy,37
shampoo native,5940,5%,16%,10093,Beauty & Personal Care,---,---,Easy,19
all natural shampoo,5837,25%,7%,83662,Beauty & Personal Care,$4.18,$5.07,Easy,37
bain de terre shampoo and conditioner,5681,20%,4%,6817,Beauty & Personal Care,---,---,Easy,20
green shampoo,5548,24%,6%,20973,Beauty & Personal Care,$2.21,$1.10,Easy,40
unscented shampoo,5359,5%,5%,19194,Beauty & Personal Care,$1.04,$1.89,Easy,19
carina organics shampoo,5311,-2%,-31%,8199,Beauty & Personal Care,$1.00,$0.97,Easy,21
fragrance free shampoo and conditioner,5257,-4%,19%,6308,Beauty & Personal Care,---,---,Easy,19
clear shampoo,5196,11%,11%,18359,Beauty & Personal Care,$0.88,$1.31,Easy,18
ginger shampoo,5175,-28%,4%,19651,Beauty & Personal Care,$0.91,$1.47,Easy,38
dercos shampoo,5168,-33%,33%,36120,Beauty & Personal Care,$0.94,$0.85,Easy,21
vanilla shampoo,4938,0%,-8%,20721,Beauty & Personal Care,$0.96,$1.10,Easy,25
shampoo natural,4884,-6%,0%,31373,Beauty & Personal Care,$2.21,$3.01,Easy,37
loc shampoo,4882,1%,3%,10565,Beauty & Personal Care,$1.45,$1.41,Easy,21
herbal shampoo,4876,12%,10%,139895,Beauty & Personal Care,$1.25,$1.21,Easy,38
shampoo ginger plant,4807,43%,-35%,7083,"Patio, Lawn & Garden",$1.00,$1.00,Easy,100
hair wash,4747,6%,-7%,32734,Beauty & Personal Care,$1.66,$1.11,Easy,19
plastic free shampoo,4370,0%,0%,6671,Beauty & Personal Care,$1.63,$1.16,Easy,39
camille rose shampoo,4299,-14%,-6%,9229,Beauty & Personal Care,$0.77,$0.77,Moderate,40
super leaves shampoo,4279,25%,22%,7975,Beauty & Personal Care,---,---,Easy,21
pacifica shampoo,4259,4%,1%,9034,Beauty & Personal Care,$0.80,$1.84,Easy,21
champoo,4226,21%,11%,4676,Beauty & Personal Care,$1.57,$1.49,Easy,56
vegan shampoo,4108,0%,-6%,9210,Beauty & Personal Care,$2.11,$2.14,Easy,57
champú para cabello,4044,14%,14%,7097,Beauty & Personal Care,---,---,Easy,21
pure zero shampoo and conditioner,4039,6%,23%,4847,Beauty & Personal Care,---,---,Easy,21
dog shampoo gallon,3997,13%,13%,4545,Pet Supplies,$1.36,$1.97,Easy,37
awapuhi wild ginger,3996,6%,2%,7033,Beauty & Personal Care,$1.31,$4.14,Very Difficult,18
tgin shampoo,3990,3%,19%,9621,Beauty & Personal Care,$1.33,$0.98,Easy,64
shampoo sin sal,3906,-15%,-11%,18559,Beauty & Personal Care,$1.08,$1.15,Easy,19
whole blends shampoo and conditioner,3892,1%,-1%,4856,Beauty & Personal Care,---,---,Easy,21
pure zero shampoo,3808,13%,7%,7847,Beauty & Personal Care,---,---,Easy,37
neutralizing shampoo,3772,28%,18%,7566,Beauty & Personal Care,$1.36,$0.99,Very Difficult,19
new wash shampoo,3738,46%,-11%,4486,Beauty & Personal Care,$0.67,$1.20,Easy,19
amazon basics shampoo,3711,-12%,-3%,5940,Beauty & Personal Care,$0.59,$0.74,Easy,37
hypoallergenic shampoo,3666,-7%,10%,23641,Beauty & Personal Care,$3.31,$2.05,Easy,19
aesop shampoo,3629,13%,5%,6218,Beauty & Personal Care,$1.05,$1.05,Moderate,25
shampoo and body wash,3516,14%,4%,178998,Beauty & Personal Care,$3.98,$2.47,Easy,21
shampoo no sulfates no parabens,3449,-5%,2%,4815,Beauty & Personal Care,---,---,Easy,38
shampoo organic,3448,0%,-8%,12554,Beauty & Personal Care,$3.65,$2.24,Easy,38
unscented shampoo and conditioner,3415,-6%,-2%,4098,Beauty & Personal Care,$1.38,$1.43,Easy,19
aloe vera shampoo,3382,10%,26%,5094,Beauty & Personal Care,$1.43,$2.20,Somewhat Difficult,21
shampoos,3381,-5%,0%,46723,Beauty & Personal Care,$2.58,$2.86,Easy,38
shampoo clarificante de cabello,3358,99%,35%,4030,Beauty & Personal Care,---,---,Easy,21
organic shampoo without chemicals,3289,33%,16%,3947,Beauty & Personal Care,$2.46,$2.46,Easy,38
soapbox shampoo,3272,16%,25%,15608,Beauty & Personal Care,$0.49,$1.52,Easy,19
alaffia shampoo,3220,-3%,-8%,4072,Beauty & Personal Care,$1.90,$1.73,Somewhat Difficult,37
shikai shampoo,3133,0%,15%,4232,Beauty & Personal Care,$3.26,$1.16,Easy,40
gentle shampoo,3067,-22%,19%,24323,Beauty & Personal Care,$2.68,$1.65,Easy,19
love beauty and planet shampoo and conditioner,3067,6%,61%,3680,Beauty & Personal Care,---,---,Easy,21
chamomile shampoo,3052,8%,39%,6861,Beauty & Personal Care,$0.97,$1.14,Moderate,62
shampoo and conditioner bulk,2984,25%,-4%,9555,Beauty & Personal Care,$1.53,$1.45,Easy,57
everpure shampoo,2983,11%,13%,44768,Beauty & Personal Care,$0.75,$1.85,Easy,18
gallon shampoo,2915,2%,0%,10754,Beauty & Personal Care,$0.95,$1.62,Easy,145
ewg shampoo,2854,26%,5%,6965,Beauty & Personal Care,$1.29,$1.85,Easy,38
ginger lily farms hand soap,2837,2%,23%,3404,Beauty & Personal Care,---,---,Easy,41
shampoo for thick hair,2816,2%,12%,8485,Beauty & Personal Care,$2.04,$2.10,Easy,19
deep cleansing shampoo,2766,-12%,3%,6511,Beauty & Personal Care,$2.63,$1.71,Moderate,21
hotel shampoo and conditioner,2710,32%,56%,6172,Beauty & Personal Care,$1.20,$1.40,Easy,37
shampoo coconut,2659,3%,6%,14547,Beauty & Personal Care,$1.00,$1.27,Moderate,40
extreme length shampoo,2626,39%,25%,72563,Beauty & Personal Care,---,---,Moderate,18
vegan shampoo and conditioner,2617,-14%,-7%,3695,Beauty & Personal Care,$2.10,$2.28,Easy,37
cheap shampoo,2602,-2%,-1%,4982,Beauty & Personal Care,$1.45,$1.96,Easy,39
crabtree and evelyn shampoo,2590,13%,12%,3275,Beauty & Personal Care,$0.68,$0.68,Easy,21
kaba shampoo,2583,-16%,-11%,3033,Beauty & Personal Care,$0.70,$0.70,Easy,20
paraben and sulfate free shampoo,2581,-18%,-9%,3097,Beauty & Personal Care,---,---,Easy,38
champu de cebolla,2557,-5%,19%,3617,Beauty & Personal Care,$0.84,$0.95,Easy,21
amazon shampoo,2483,11%,-13%,14181,Beauty & Personal Care,$2.07,$2.08,Easy,37
free and clear shampoo,2468,-10%,13%,6678,Beauty & Personal Care,$0.94,$0.88,Easy,18
prose shampoo,2458,4%,34%,9106,Beauty & Personal Care,$0.76,$0.66,Easy,18
gee your hair smells terrific shampoo,2386,2%,12%,2836,Beauty & Personal Care,---,---,Easy,21
sulfate-free shampoo,2377,8%,6%,2852,Beauty & Personal Care,$2.10,$2.77,Easy,39
garnier whole blends shampoo,2362,-5%,13%,3326,Beauty & Personal Care,$0.79,$0.85,Easy,21
champo,2353,20%,9%,11054,Beauty & Personal Care,---,---,Easy,20
coconut milk shampoo,2344,37%,-2%,8693,Beauty & Personal Care,$1.21,$0.87,Moderate,20
tear free shampoo,2338,1%,-1%,22527,Baby,$1.14,$1.60,Easy,19
